[2025-11-21T19:44:58] Nagster Agent started
[2025-11-21T19:54:43] Nagster Agent started with config: idle_logout_seconds=300, suspicious_key_threshold=500, no_mouse_window_seconds=60
[2025-11-21T19:54:43] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T19:54:51] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:00:33] ACTIVE APP: exe='brave.exe', title='New Tab - Brave'
[2025-11-21T20:00:35] ACTIVE APP: exe='SearchHost.exe', title='Search'
[2025-11-21T20:00:37] ACTIVE APP: exe='explorer.exe', title=''
[2025-11-21T20:00:39] ACTIVE APP: exe='chrome.exe', title='New Tab - Google Chrome'
[2025-11-21T20:00:41] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:00:51] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:00:57] ACTIVE APP: exe='chrome.exe', title='New Tab - Google Chrome'
[2025-11-21T20:01:07] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:01:17] ACTIVE APP: exe='chrome.exe', title='New Tab - Google Chrome'
[2025-11-21T20:01:21] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:01:23] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:01:25] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:01:29] ACTIVE APP: exe='SearchHost.exe', title='Search'
[2025-11-21T20:01:33] ACTIVE APP: exe='explorer.exe', title=''
[2025-11-21T20:01:35] ACTIVE APP: exe='Notepad.exe', title='_chat.txt - Notepad'
[2025-11-21T20:01:37] ACTIVE APP: exe='Notepad.exe', title='Aboutimg1.svg - Notepad'
[2025-11-21T20:01:39] ACTIVE APP: exe='Notepad.exe', title='Untitled - Notepad'
[2025-11-21T20:01:47] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:01:51] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:01:59] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:04:53] ACTIVE APP: exe='brave.exe', title='Nagster - Brave'
[2025-11-21T20:05:01] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:05:41] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:05:45] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:05:55] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:03] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:06:05] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:09] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:06:13] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:17] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:06:19] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:06:23] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:06:27] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:06:29] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:37] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:06:49] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:51] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:06:57] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:06:59] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:07:01] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:07:05] ACTIVE APP: exe='Code.exe', title='main.py - Nagster - Visual Studio Code'
[2025-11-21T20:07:07] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:07:19] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:07:21] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:07:25] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:07:27] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:07:31] ACTIVE APP: exe='Code.exe', title='main.py - Nagster - Visual Studio Code'
[2025-11-21T20:07:33] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:07:37] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000 - Brave'
[2025-11-21T20:07:39] ACTIVE APP: exe='brave.exe', title='Nagster - Brave'
[2025-11-21T20:07:41] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:07:45] ACTIVE APP: exe='brave.exe', title='Nagster - Brave'
[2025-11-21T20:07:47] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:09:27] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000/health - Brave'
[2025-11-21T20:09:33] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:09:45] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000/health - Brave'
[2025-11-21T20:09:47] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:14:45] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:14:47] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:14:49] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:14:51] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:14:59] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:15:11] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:15:15] ACTIVE APP: exe='Code.exe', title='main.py - Nagster - Visual Studio Code'
[2025-11-21T20:15:17] ACTIVE APP: exe='Code.exe', title='config.json - Nagster - Visual Studio Code'
[2025-11-21T20:15:21] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:15:23] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:15:37] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T20:15:39] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:15:41] ACTIVE APP: exe='Code.exe', title='● agent.py - Nagster - Visual Studio Code'
[2025-11-21T20:15:43] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T20:15:59] ACTIVE APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:21:03] BEFORE LOGOUT APP: exe='WindowsTerminal.exe', title='Windows PowerShell'
[2025-11-21T20:21:03] LOGOUT TRIGGERED: Idle for 300 seconds (limit=300)
[2025-11-21T23:40:33] Nagster Agent started with config: idle_logout_seconds=300, suspicious_key_threshold=500, no_mouse_window_seconds=60, send_interval_seconds=60
[2025-11-21T23:40:33] ACTIVE APP: exe='Code.exe', title='● agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:40:37] ACTIVE APP: exe='explorer.exe', title='Home - File Explorer'
[2025-11-21T23:40:39] ACTIVE APP: exe='explorer.exe', title=''
[2025-11-21T23:40:43] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T23:40:59] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000/health - Brave'
[2025-11-21T23:41:01] ACTIVE APP: exe='brave.exe', title='(1811) KOTHU PAROTTA | Shredded Parotta Recipe Cooking In Village | Street Food Recipe | Paratha Recipe - YouTube - Brave'
[2025-11-21T23:41:03] ACTIVE APP: exe='Code.exe', title='● agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:11] ACTIVE APP: exe='brave.exe', title='Nagster - Brave'
[2025-11-21T23:41:13] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T23:41:17] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T23:41:19] ACTIVE APP: exe='Code.exe', title='● agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:23] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000 - Brave'
[2025-11-21T23:41:27] ACTIVE APP: exe='Code.exe', title='● agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:31] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:36] ERROR sending summary to backend: HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=3)
[2025-11-21T23:41:42] ACTIVE APP: exe='brave.exe', title='127.0.0.1:8000 - Brave'
[2025-11-21T23:41:44] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T23:41:46] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T23:41:48] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:50] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
[2025-11-21T23:41:54] ACTIVE APP: exe='Code.exe', title='agent.py - Nagster - Visual Studio Code'
[2025-11-21T23:41:56] ACTIVE APP: exe='explorer.exe', title='Task Switching'
[2025-11-21T23:41:58] ACTIVE APP: exe='brave.exe', title='Technology fields to explore - Brave'
